service_id,official_name,alias,source_site,detail_url,apply_url,authority,phone
WLF00004558,국민기초생활보장,기초생활수급,bokjiro,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004558,,읍면동주민센터,129
WLF00004563,긴급복지지원,긴급지원,bokjiro,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004563,,읍면동주민센터,129
WLF00004559,의료급여,,bokjiro,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004559,,읍면동주민센터,129
WLF00004560,주거급여,임차수선급여,bokjiro,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004560,,읍면동주민센터,1600-0777
WLF00004555,기초연금,노인기초연금,bokjiro,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004555,,국민연금공단,1355
WLF00003260,장애인활동지원,활동보조,bokjiro,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003260,,읍면동주민센터,129
WLF00004556,장애인연금,중증장애인연금,bokjiro,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004556,,읍면동주민센터,129
WLF00004569,한부모가족지원,한부모지원,bokjiro,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004569,,읍면동주민센터,1644-6621
WLF00004570,노인일자리및사회활동지원,노인일자리,bokjiro,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004570,,읍면동주민센터,129
WLF00004565,노인장기요양보험,장기요양,bokjiro,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004565,,국민건강보험공단,1577-1000
WLF00013233,아동수당,,bokjiro,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00013233,,읍면동주민센터,129
WLF00018613,부모급여,영아수당,bokjiro,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00018613,,읍면동주민센터,129
WLF00018614,첫만남이용권,출산지원금,bokjiro,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00018614,,읍면동주민센터,129
WLF00004568,산모신생아건강관리서비스,산모신생아,bokjiro,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004568,,읍면동주민센터,129
WLF00009830,가사간병방문서비스,가사간병,bokjiro,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00009830,,읍면동주민센터,129
